000
54
BRENOG-DRAFUTROL,BRENOG-DRAFUTROL,lever,-224.00,-736.09,31.81,32.09
PERBO-FUROIAKKEN,BRENOG-DRAFUTROL,lever,352.00,-736.00,31.81,32.09
RUFER-SORBORKROK,BRENOG-DRAFUTROL,lever,544.00,-1152.00,31.81,32.09
NOGBRE-BREBULYR,BRENOG-DRAFUTROL,lever,736.00,-1312.00,31.81,32.09
BUKRO-FERFUKROK,BRENOG-DRAFUTROL,lever,928.00,-1504.00,31.81,32.09
ROIBO-FERNOGVARG,BRENOG-DRAFUTROL,lever,832.00,-1888.00,31.81,32.09
BRESOR-RALYGGYOR,BRENOG-DRAFUTROL,lever,-32.00,-1696.00,31.81,32.09
RALFER-MOSORKIRK,BREDAL-SORFERFI,tele:stage7,96.00,-1824.00,160.00,160.00
SORSOR-PERSORYOR,BREDAL-SORFERFI,tele:stage8,96.00,-2208.00,160.00,160.00
ROIKRO-RUDALKKA,BRENOG-DRAFUTROL,boulder,64.00,-1728.00,31.81,64.00
BORPER-MOMOSIR,BRENOG-DRAFUTROL,boulder,64.00,-1728.00,31.81,64.00
BORDAL-RALBREHAR,BRENOG-DRAFUTROL,boulder,-128.00,-1824.00,31.81,64.00
RUFU-RALKOSIL,BRENOG-DRAFUTROL,boulder,-128.00,-2112.00,31.81,64.00
BRERAL-KROKOSIL,BRENOG-DRAFUTROL,boulder,64.00,-2112.00,31.81,64.00
SORRAL-NOGBORSIL,RALMO-FERDRASIR,Guide,-512.00,-2048.00,800.00,416.00
BUNOG-KONETER,RALMO-FERDRASIR,Guide,-512.00,-2432.00,800.00,416.00
end,MOSOR-PERBORKKA,tele_off,2432.00,-192.00,160.00,160.00
LOANE-LOABOKROK,RALMO-FERDRASIR,Guide,-320.00,-896.00,576.00,416.00
NOGDRA-RALBUYOR,BRENOG-DRAFUTROL,lever_s,-128.00,-1312.00,31.81,32.09
NOGKRO-BREBRESIL,SORRU-BUPERSIL,tele:end;notify_end,-477.92,-1440.00,160.27,160.21
stage2,SORRU-BUPERSIL,tele_off,480.00,-1056.00,160.27,160.21
KROMO-RALLOASIL,BRENOG-DRAFUTROL,lever,-32.00,-1312.00,31.81,32.09
NEKO-KRODALAKKEN,RALMO-FERDRASIR,Guide,256.00,-1856.00,832.00,416.00
LOABU-BUNOTROL,BREDAL-SORFERFI,tele:stage6,864.00,-2144.00,160.00,160.00
DRARAL-DALNETTU,BRENOG-DRAFUTROL,lever_s,480.00,-2016.00,31.81,32.09
BORBU-LOARALFOK,RALMO-FERDRASIR,Guide,256.00,-1472.00,799.92,416.00
stage1,MONE-NOGDRAVARG,tele_off,-96.00,-864.00,160.00,160.00
RUBRE-FULOAKKA,BRENOG-DRAFUTROL,boulder,832.00,-1728.00,31.81,64.00
stage3,BREDAL-SORFERFI,tele_off,480.00,-1440.00,160.00,160.00
YGGROI-FERPERTER,SORRU-BUPERSIL,tele:stage3,672.00,-1056.00,160.27,160.21
stage8,BREDAL-SORFERFI,tele_off,96.00,-1632.00,160.00,160.00
SORBO-LOALOAHAR,BRENOG-DRAFUTROL,boulder,-288.00,-1344.00,31.81,64.00
DALFU-BREMOTTU,RALMO-FERDRASIR,Guide,-320.00,-1280.00,576.00,416.00
RALMO-FERDRASIR,RALMO-FERDRASIR,Guide,256.00,-1088.00,799.92,415.91
stage0BUPERSIL,SORRU-BUPERSIL,tele:stage1,96.00,-1056.00,160.00,160.00
DRAROI-YGGNOROT,BRENOG-DRAFUTROL,boulder,640.00,-1920.00,31.81,64.00
SORKO-NOBOFOK,BRENOG-DRAFUTROL,boulder,832.00,-2080.00,31.81,64.00
BUYGG-RUNOKER,SORRU-BUPERSIL,tele:stage5,672.00,-1632.00,160.27,160.21
ROIRAL-BORNEVARG,MONE-NOGDRAVARG,tele:stage2,-96.00,-672.00,160.00,160.00
NOROI-RALMOAKKEN,BRENOG-DRAFUTROL,lever_s,-32.00,-1504.00,31.81,32.09
FUDAL-BUBRESIL,BRENOG-DRAFUTROL,lever_s,-224.00,-1888.00,31.81,32.09
MOLOA-RUKOKER,BRENOG-DRAFUTROL,lever_s,-224.00,-2080.00,31.81,32.09
LOARAL-BORBREKROK,BRENOG-DRAFUTROL,boulder,640.00,-1536.00,31.81,64.00
stage5,BREDAL-SORFERFI,tele_off,288.00,-2016.00,160.00,160.00
LOAFU-BOFULYR,BRENOG-DRAFUTROL,lever_s,480.00,-1888.00,31.81,32.09
stage4,BREDAL-SORFERFI,tele_off,288.00,-1824.00,160.00,160.00
NEKO-NOGBOKER,BRENOG-DRAFUTROL,lever_s,736.00,-1696.00,31.81,32.09
stage6,BREDAL-SORFERFI,tele_off,-288.00,-1824.00,160.00,160.00
stage7,BREDAL-SORFERFI,tele_off,-288.00,-2400.00,160.00,160.00
SORFU-BREKROKROK,SORRU-BUPERSIL,tele:stage4,864.00,-1249.24,160.27,160.21
KOFER-BORBOKER,RALMO-FERDRASIR,Guide,-512.00,-1664.00,800.00,416.00
RUNOG-KONEFOK,RALMO-FERDRASIR,Guide,256.00,-2272.00,832.00,448.00
YGGNOG-BUKOSIR,BRENOG-DRAFUTROL,boulder,-128.00,-1539.25,31.81,64.00
RALPER-MOBORSIR,RALPER-MOBORSIR,static,-480.00,-2208.00,160.00,160.00
-13,-65
-1,-1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1,-2,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
